matchNumber,mat,phase,categoryName,categoryGender,categorySubCategory,blueOvrId,redOvrId,videoQuota,matchVictoryCriteria,nextMatchNumber,nextMatchColor
M_SUB21_P1_01,1,QF,SUB-21 -68 kg,MALE,P1,ATHM0005,ATHM0003,1,BESTOF3,M_SUB21_P1_02,RED
M_SUB21_P1_02,1,SF,SUB-21 -68 kg,MALE,P1,ATHM0004,,1,BESTOF3,M_SUB21_P1_04,BLUE
M_SUB21_P1_03,1,SF,SUB-21 -68 kg,MALE,P1,ATHM0001,ATHM0002,1,BESTOF3,M_SUB21_P1_04,RED
M_SUB21_P1_04,1,F,SUB-21 -68 kg,MALE,P1,,,1,BESTOF3,,
M_SUB21_P2_01,1,R1,SUB-21 -74 kg,MALE,P2,ATHM0014,ATHM0013,1,BESTOF3,M_SUB21_P2_02,RED
M_SUB21_P2_02,1,QF,SUB-21 -74 kg,MALE,P2,ATHM0009,,1,BESTOF3,M_SUB21_P2_06,BLUE
M_SUB21_P2_03,1,QF,SUB-21 -74 kg,MALE,P2,ATHM0006,ATHM0011,1,BESTOF3,M_SUB21_P2_06,RED
M_SUB21_P2_04,1,QF,SUB-21 -74 kg,MALE,P2,ATHM0012,ATHM0008,1,BESTOF3,M_SUB21_P2_07,BLUE
M_SUB21_P2_05,1,QF,SUB-21 -74 kg,MALE,P2,ATHM0010,ATHM0007,1,BESTOF3,M_SUB21_P2_07,RED
M_SUB21_P2_06,1,SF,SUB-21 -74 kg,MALE,P2,,,1,BESTOF3,M_SUB21_P2_08,BLUE
M_SUB21_P2_07,1,SF,SUB-21 -74 kg,MALE,P2,,,1,BESTOF3,M_SUB21_P2_08,RED
M_SUB21_P2_08,1,F,SUB-21 -74 kg,MALE,P2,,,1,BESTOF3,,
M_SUB21_P3_01,2,QF,SUB-21 -80 kg,MALE,P3,ATHM0018,ATHM0017,1,BESTOF3,M_SUB21_P3_04,RED
M_SUB21_P3_02,2,QF,SUB-21 -80 kg,MALE,P3,ATHM0016,ATHM0019,1,BESTOF3,M_SUB21_P3_05,BLUE
M_SUB21_P3_03,2,QF,SUB-21 -80 kg,MALE,P3,ATHM0021,ATHM0015,1,BESTOF3,M_SUB21_P3_05,RED
M_SUB21_P3_04,2,SF,SUB-21 -80 kg,MALE,P3,ATHM0020,,1,BESTOF3,M_SUB21_P3_06,BLUE
M_SUB21_P3_05,2,SF,SUB-21 -80 kg,MALE,P3,,,1,BESTOF3,M_SUB21_P3_06,RED
M_SUB21_P3_06,2,F,SUB-21 -80 kg,MALE,P3,,,1,BESTOF3,,
M_SUB21_P4_01,2,QF,SUB-21 -87 kg,MALE,P4,ATHM0025,ATHM0024,1,BESTOF3,M_SUB21_P4_04,RED
M_SUB21_P4_02,2,QF,SUB-21 -87 kg,MALE,P4,ATHM0023,ATHM0026,1,BESTOF3,M_SUB21_P4_05,BLUE
M_SUB21_P4_03,2,QF,SUB-21 -87 kg,MALE,P4,ATHM0028,ATHM0022,1,BESTOF3,M_SUB21_P4_05,RED
M_SUB21_P4_04,2,SF,SUB-21 -87 kg,MALE,P4,ATHM0027,,1,BESTOF3,M_SUB21_P4_06,BLUE
M_SUB21_P4_05,2,SF,SUB-21 -87 kg,MALE,P4,,,1,BESTOF3,M_SUB21_P4_06,RED
M_SUB21_P4_06,2,F,SUB-21 -87 kg,MALE,P4,,,1,BESTOF3,,
M_SUB21_P5_01,3,QF,SUB-21 +87 kg,MALE,P5,ATHM0033,ATHM0031,1,BESTOF3,M_SUB21_P5_02,RED
M_SUB21_P5_02,3,SF,SUB-21 +87 kg,MALE,P5,ATHM0032,,1,BESTOF3,M_SUB21_P5_04,BLUE
M_SUB21_P5_03,3,SF,SUB-21 +87 kg,MALE,P5,ATHM0029,ATHM0030,1,BESTOF3,M_SUB21_P5_04,RED
M_SUB21_P5_04,3,F,SUB-21 +87 kg,MALE,P5,,,1,BESTOF3,,
